"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","country","city","date","revenue_30"
"915",1266491,"la Dreta de l'Eixample",41.39642,2.16838,"Apartment","Entire home/apt",4,1,2,129,1,30,19,"spain","barcelona","2020-07-17",1419
"916",1269089,"el Raval",41.37935,2.17269,"Apartment","Entire home/apt",5,2,2,70,1,27,19,"spain","barcelona","2020-07-17",770
"917",1269116,"el Raval",41.38074,2.1713,"Apartment","Entire home/apt",5,2,2,70,1,27,24,"spain","barcelona","2020-07-17",420
"918",1269128,"el Raval",41.37991,2.17088,"Apartment","Entire home/apt",7,3,4,88,1,27,14,"spain","barcelona","2020-07-17",1408
"919",1269161,"el Raval",41.38015,2.17292,"Apartment","Entire home/apt",7,3,4,88,1,27,12,"spain","barcelona","2020-07-17",1584
"920",1269191,"el Raval",41.37895,2.17298,"Apartment","Entire home/apt",9,4,6,110,1,27,12,"spain","barcelona","2020-07-17",1980
"921",1269216,"el Raval",41.38016,2.17289,"Apartment","Entire home/apt",10,4,7,125,1,27,11,"spain","barcelona","2020-07-17",2375
"922",1269238,"la Vila de Gràcia",41.40717,2.15985,"Apartment","Entire home/apt",4,2,2,120,2,30,0,"spain","barcelona","2020-07-17",3600
"923",1269243,"el Raval",41.3803,2.17218,"Apartment","Entire home/apt",10,4,7,125,1,27,9,"spain","barcelona","2020-07-17",2625
"924",1269253,"el Raval",41.37905,2.17083,"Apartment","Entire home/apt",10,4,7,125,1,27,13,"spain","barcelona","2020-07-17",2125
"925",1269263,"el Raval",41.37906,2.17117,"Apartment","Entire home/apt",10,4,7,125,1,27,16,"spain","barcelona","2020-07-17",1750
"926",1269272,"el Raval",41.37892,2.17111,"Apartment","Entire home/apt",10,4,7,125,1,27,18,"spain","barcelona","2020-07-17",1500
"927",1271555,"la Dreta de l'Eixample",41.39653,2.16148,"Apartment","Entire home/apt",3,2,2,223,3,122,0,"spain","barcelona","2020-07-17",6690
"928",1271836,"la Sagrada Família",41.40572,2.17514,"Apartment","Entire home/apt",4,3,3,90,2,1125,0,"spain","barcelona","2020-07-17",2700
"929",1272304,"l'Antiga Esquerra de l'Eixample",41.38693,2.15467,"Apartment","Entire home/apt",7,2,3,129,3,60,22,"spain","barcelona","2020-07-17",1032
"930",1273077,"Sarrià",41.39749,2.12133,"Apartment","Private room",2,1,1,45,3,1125,1,"spain","barcelona","2020-07-17",1305
"931",1276036,"la Vila de Gràcia",41.40146,2.16046,"Loft","Entire home/apt",2,1,1,66,1,365,12,"spain","barcelona","2020-07-17",1188
"932",1279308,"la Nova Esquerra de l'Eixample",41.38947,2.14355,"Apartment","Entire home/apt",4,2,4,120,3,1125,1,"spain","barcelona","2020-07-17",3480
"933",1284653,"Sant Pere, Santa Caterina i la Ribera",41.38928,2.17818,"Apartment","Private room",2,1,1,45,4,31,0,"spain","barcelona","2020-07-17",1350
"934",1286069,"Sant Antoni",41.38061,2.16246,"Apartment","Entire home/apt",6,2,4,145,2,1125,0,"spain","barcelona","2020-07-17",4350
"935",1288165,"la Bordeta",41.37019,2.1375,"Apartment","Private room",1,1,1,21,1,1125,0,"spain","barcelona","2020-07-17",630
"936",1290278,"la Nova Esquerra de l'Eixample",41.37983,2.15282,"Loft","Entire home/apt",2,1,1,80,3,150,7,"spain","barcelona","2020-07-17",1840
"937",1291971,"el Guinardó",41.41136,2.17446,"Apartment","Entire home/apt",5,2,3,45,3,365,19,"spain","barcelona","2020-07-17",495
