"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30"
"1283","belgium","antwerp","2020-05-27",30167977,"Universiteitsbuurt",51.2239,4.40663,"Loft","Entire home/apt",2,1,1,125,1,1125,17
"1284","belgium","antwerp","2020-05-27",30169014,"Oud - Berchem",51.19552,4.4295,"Apartment","Entire home/apt",2,1,1,45,1,50,4
"1285","belgium","antwerp","2020-05-27",30219390,"Theaterbuurt-Meir",51.21181,4.4046,"Townhouse","Entire home/apt",4,2,4,190,1,60,0
"1286","belgium","antwerp","2020-05-27",30230278,"Haringrode",51.20417,4.41609,"Apartment","Private room",2,1,1,40,1,10,0
"1287","belgium","antwerp","2020-05-27",30231175,"Theaterbuurt-Meir",51.21324,4.40147,"Apartment","Entire home/apt",4,1,2,93,4,1125,0
"1288","belgium","antwerp","2020-05-27",30231330,"Sint-Andries",51.21501,4.4014,"Apartment","Entire home/apt",4,1,2,93,4,1125,0
"1289","belgium","antwerp","2020-05-27",30231497,"Theaterbuurt-Meir",51.21464,4.40319,"Apartment","Entire home/apt",4,1,2,93,4,1125,0
"1290","belgium","antwerp","2020-05-27",30243446,"Historisch Centrum",51.22158,4.40372,"House","Private room",2,1,1,28,2,1125,1
"1291","belgium","antwerp","2020-05-27",30243996,"Brederode",51.20648,4.39546,"Apartment","Entire home/apt",4,1,4,90,3,1125,29
"1292","belgium","antwerp","2020-05-27",30259147,"Zuid",51.20795,4.38796,"Loft","Entire home/apt",4,1,1,99,1,1125,5
"1293","belgium","antwerp","2020-05-27",30259301,"Borgerhout Intra Muros Noord",51.21744,4.42986,"Townhouse","Private room",2,1,2,75,2,1125,22
"1294","belgium","antwerp","2020-05-27",30259307,"Zuid",51.20717,4.38677,"Loft","Entire home/apt",4,1,1,99,1,1125,0
"1295","belgium","antwerp","2020-05-27",30259348,"Zuid",51.20648,4.38753,"Loft","Entire home/apt",4,1,1,99,1,1125,0
"1296","belgium","antwerp","2020-05-27",30260501,"Amandus - Atheneum",51.22377,4.41762,"Serviced apartment","Entire home/apt",5,1,3,75,1,1125,26
