"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","country","city","date","revenue_30"
"1",28925,"Centre ville (Bordeaux)",44.8491,-0.5935,"Entire house","Entire home/apt",12,5,13,350,2,21,0,"france","bordeaux","2020-09-19",10500
"2",185534,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83063,-0.59331,"Entire house","Entire home/apt",6,3,3,125,4,15,0,"france","bordeaux","2020-09-19",3750
"3",218103,"Bgles",44.81418,-0.54842,"Entire apartment","Entire home/apt",4,1,0,110,2,21,30,"france","bordeaux","2020-09-19",0
"4",222887,"Bordeaux Sud",44.83611,-0.5664,"Entire apartment","Entire home/apt",4,2,3,174,3,90,28,"france","bordeaux","2020-09-19",348
"5",317273,"Chartrons - Grand Parc - Jardin Public",44.84782,-0.58105,"Entire apartment","Entire home/apt",3,1,2,127,3,90,0,"france","bordeaux","2020-09-19",3810
"6",317658,"Centre ville (Bordeaux)",44.83882,-0.56887,"Entire apartment","Entire home/apt",6,2,4,190,3,90,0,"france","bordeaux","2020-09-19",5700
"7",333031,"Centre ville (Bordeaux)",44.84267,-0.57656,"Entire apartment","Entire home/apt",2,NA,1,72,1,1125,28,"france","bordeaux","2020-09-19",144
"8",333592,"Centre ville (Bordeaux)",44.84701,-0.58249,"Entire apartment","Entire home/apt",2,1,1,90,2,31,18,"france","bordeaux","2020-09-19",1080
"9",365993,"Bgles",44.81149,-0.55825,"Entire apartment","Entire home/apt",6,2,3,85,5,30,15,"france","bordeaux","2020-09-19",1275
"10",400306,"La Bastide",44.8439,-0.55831,"Entire condominium","Entire home/apt",2,1,1,59,1,1125,0,"france","bordeaux","2020-09-19",1770
"11",403245,"Bordeaux Sud",44.83385,-0.57033,"Entire apartment","Entire home/apt",3,1,2,59,2,31,0,"france","bordeaux","2020-09-19",1770
"12",408270,"Bgles",44.81412,-0.54641,"Entire apartment","Entire home/apt",4,1,1,90,2,21,0,"france","bordeaux","2020-09-19",2700
"13",410267,"Bgles",44.81494,-0.54799,"Entire apartment","Entire home/apt",4,1,1,90,2,21,26,"france","bordeaux","2020-09-19",360
"14",412475,"Bgles",44.81428,-0.54875,"Entire apartment","Entire home/apt",4,1,1,90,2,21,28,"france","bordeaux","2020-09-19",180
"15",437127,"Chartrons - Grand Parc - Jardin Public",44.85636,-0.58518,"Private room in apartment","Private room",2,1,1,46,2,1125,17,"france","bordeaux","2020-09-19",598
"16",438600,"Chartrons - Grand Parc - Jardin Public",44.85575,-0.5824,"Private room in apartment","Private room",1,1,1,31,2,1125,14,"france","bordeaux","2020-09-19",496
"17",450324,"Plaisance-Loret-Maregue",44.86238,-0.50698,"Entire house","Entire home/apt",5,4,4,110,2,1125,0,"france","bordeaux","2020-09-19",3300
"18",457462,"Talence",44.80935,-0.59991,"Entire apartment","Entire home/apt",4,2,2,75,2,21,0,"france","bordeaux","2020-09-19",2250
"19",457640,"Talence",44.80907,-0.60034,"Entire apartment","Entire home/apt",4,2,2,80,2,30,0,"france","bordeaux","2020-09-19",2400
"20",482102,"Le Bouscat",44.85446,-0.59562,"Entire townhouse","Entire home/apt",12,6,7,195,2,21,22,"france","bordeaux","2020-09-19",1560
"21",500193,"Bordeaux Sud",44.83118,-0.5628,"Entire apartment","Entire home/apt",4,2,2,97.14,1,14,5,"france","bordeaux","2020-09-19",2428.5
