"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","country","city","date","revenue_30"
"1",21974,"el Barri Gòtic",41.38077,2.17551,"Private room in apartment","Private room",2,1,1,80,3,90,0,"spain","barcelona","2020-09-12",2400
"2",23197,"el Besòs i el Maresme",41.41291,2.22063,"Entire apartment","Entire home/apt",6,3,5,200,3,300,30,"spain","barcelona","2020-09-12",0
"3",32711,"el Camp d'en Grassot i Gràcia Nova",41.40566,2.17015,"Entire apartment","Entire home/apt",6,2,3,188,2,31,0,"spain","barcelona","2020-09-12",5640
"4",34241,"el Barri Gòtic",41.37916,2.17535,"Private room in apartment","Private room",2,1,1,40,30,240,30,"spain","barcelona","2020-09-12",0
"5",34981,"el Barri Gòtic",41.37978,2.17623,"Entire apartment","Entire home/apt",9,4,6,146,4,365,30,"spain","barcelona","2020-09-12",0
"6",35318,"el Barri Gòtic",41.38145,2.17544,"Private room in apartment","Private room",2,1,2,69,3,60,30,"spain","barcelona","2020-09-12",0
"7",35379,"l'Antiga Esquerra de l'Eixample",41.39036,2.15274,"Private room in apartment","Private room",2,1,1,15,2,60,12,"spain","barcelona","2020-09-12",270
"8",35388,"l'Antiga Esquerra de l'Eixample",41.39065,2.15196,"Private room in apartment","Private room",1,1,1,14,2,60,7,"spain","barcelona","2020-09-12",322
"9",35390,"l'Antiga Esquerra de l'Eixample",41.39153,2.15125,"Private room in apartment","Private room",1,1,1,12,2,60,6,"spain","barcelona","2020-09-12",288
"10",35392,"l'Antiga Esquerra de l'Eixample",41.39082,2.15078,"Private room in apartment","Private room",2,1,1,19,2,60,11,"spain","barcelona","2020-09-12",361
"11",36763,"la Barceloneta",41.37906,2.19141,"Private room in apartment","Private room",1,1,1,34,2,65,29,"spain","barcelona","2020-09-12",34
"12",40983,"la Dreta de l'Eixample",41.39631,2.16832,"Entire loft","Entire home/apt",4,1,1,35,2,364,4,"spain","barcelona","2020-09-12",910
"13",41952,"el Camp d'en Grassot i Gràcia Nova",41.40565,2.16932,"Entire apartment","Entire home/apt",6,2,4,110,3,365,30,"spain","barcelona","2020-09-12",0
"14",46153,"Sant Pere, Santa Caterina i la Ribera",41.38776,2.17782,"Entire apartment","Entire home/apt",3,2,3,30,90,180,0,"spain","barcelona","2020-09-12",900
"15",49968,"el Camp d'en Grassot i Gràcia Nova",41.4057,2.17016,"Entire apartment","Entire home/apt",6,2,0,67,2,31,30,"spain","barcelona","2020-09-12",0
"16",58512,"el Camp de l'Arpa del Clot",41.41129,2.18193,"Entire apartment","Entire home/apt",6,3,4,95,5,90,30,"spain","barcelona","2020-09-12",0
"17",61444,"la Dreta de l'Eixample",41.38901,2.16552,"Entire apartment","Entire home/apt",6,2,4,103,2,90,22,"spain","barcelona","2020-09-12",824
"18",67065,"l'Antiga Esquerra de l'Eixample",41.39161,2.15089,"Entire apartment","Entire home/apt",7,4,7,110,1,27,0,"spain","barcelona","2020-09-12",3300
