"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","country","city","date","revenue_30"
"918",1389205,"Tempelhofer Vorstadt",52.49244,13.42102,"Entire apartment","Entire home/apt",2,1,0,129,4,1125,0,"germany","berlin","2020-08-30",3870
"919",1390729,"Helmholtzplatz",52.5404,13.41556,"Entire apartment","Entire home/apt",2,1,0,65,1,1125,13,"germany","berlin","2020-08-30",1105
"920",1393078,"Westend",52.50963,13.26172,"Private room in apartment","Private room",2,1,1,55,3,1125,30,"germany","berlin","2020-08-30",0
"921",1396712,"südliche Luisenstadt",52.49485,13.42794,"Entire apartment","Entire home/apt",2,1,1,59,2,1125,0,"germany","berlin","2020-08-30",1770
"922",1405939,"Neuköllner Mitte/Zentrum",52.46483,13.43732,"Private room in apartment","Private room",6,1,3,26,1,1125,3,"germany","berlin","2020-08-30",702
"923",1407846,"Alexanderplatz",52.52271,13.37644,"Private room in apartment","Private room",2,1,2,63,3,1125,0,"germany","berlin","2020-08-30",1890
"924",1413435,"Tempelhofer Vorstadt",52.49235,13.42002,"Entire apartment","Entire home/apt",2,1,1,75,28,60,0,"germany","berlin","2020-08-30",2250
"925",1419206,"Pankow Süd",52.55836,13.4096,"Private room in apartment","Private room",1,1,1,49,3,45,0,"germany","berlin","2020-08-30",1470
"926",1420984,"Brunnenstr. Süd",52.53829,13.39953,"Entire apartment","Entire home/apt",3,1,2,120,14,1125,0,"germany","berlin","2020-08-30",3600
"927",1421907,"Prenzlauer Berg Nordwest",52.55423,13.40995,"Entire apartment","Entire home/apt",2,1,0,65,3,30,0,"germany","berlin","2020-08-30",1950
"928",1423398,"Südliche Friedrichstadt",52.50335,13.39609,"Entire apartment","Entire home/apt",5,4,4,120,2,1125,0,"germany","berlin","2020-08-30",3600
"929",1424667,"Neuköllner Mitte/Zentrum",52.46534,13.4376,"Private room in apartment","Private room",3,1,2,25,3,1125,27,"germany","berlin","2020-08-30",75
"930",1433334,"Tempelhofer Vorstadt",52.49405,13.39721,"Private room in apartment","Private room",2,1,1,30,1,1125,0,"germany","berlin","2020-08-30",900
"931",1434793,"Prenzlauer Berg Süd",52.53634,13.43228,"Entire apartment","Entire home/apt",3,1,1,40,3,14,0,"germany","berlin","2020-08-30",1200
"932",1436745,"Prenzlauer Berg Südwest",52.53709,13.42295,"Private room in apartment","Private room",2,1,1,34,2,1125,0,"germany","berlin","2020-08-30",1020
