"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","country","city","date","revenue_30"
"1",56766,"5e Arrondissement",45.76321,4.82911,"Entire apartment","Entire home/apt",6,3,4,250,14,720,0,"france","lyon","2020-08-31",7500
"2",71455,"5e Arrondissement",45.76206,4.82751,"Entire apartment","Entire home/apt",4,1,2,80,2,30,0,"france","lyon","2020-08-31",2400
"3",77104,"1er Arrondissement",45.76962,4.8275,"Entire apartment","Entire home/apt",4,1,2,70,2,15,28,"france","lyon","2020-08-31",140
"4",134539,"5e Arrondissement",45.7593,4.82548,"Entire apartment","Entire home/apt",4,2,2,60,4,30,0,"france","lyon","2020-08-31",1800
"5",136556,"3e Arrondissement",45.76208,4.85327,"Entire apartment","Entire home/apt",5,1,3,99,3,730,0,"france","lyon","2020-08-31",2970
"6",137132,"6e Arrondissement",45.76854,4.85312,"Entire condominium","Entire home/apt",4,1,1,88,3,730,0,"france","lyon","2020-08-31",2640
"7",174304,"1er Arrondissement",45.76695,4.83241,"Entire apartment","Entire home/apt",6,3,4,104,2,120,25,"france","lyon","2020-08-31",520
"8",249711,"7e Arrondissement",45.75104,4.83795,"Entire apartment","Entire home/apt",6,3,4,120,2,30,25,"france","lyon","2020-08-31",600
"9",251630,"1er Arrondissement",45.77019,4.835,"Entire apartment","Entire home/apt",2,NA,2,35,13,180,0,"france","lyon","2020-08-31",1050
"10",298089,"3e Arrondissement",45.75775,4.87644,"Private room in apartment","Private room",3,1,2,21,1,5,0,"france","lyon","2020-08-31",630
"11",329950,"3e Arrondissement",45.74817,4.87162,"Private room in apartment","Private room",6,3,4,72,2,16,0,"france","lyon","2020-08-31",2160
"12",342674,"3e Arrondissement",45.75383,4.84758,"Entire apartment","Entire home/apt",8,3,5,155,1,1125,17,"france","lyon","2020-08-31",2015
"13",349150,"5e Arrondissement",45.76419,4.82794,"Entire apartment","Entire home/apt",4,1,3,79,2,1125,28,"france","lyon","2020-08-31",158
"14",365998,"1er Arrondissement",45.76846,4.82951,"Entire apartment","Entire home/apt",2,1,1,66,3,15,11,"france","lyon","2020-08-31",1254
"15",369303,"6e Arrondissement",45.76407,4.86958,"Entire apartment","Entire home/apt",2,1,1,50,2,15,0,"france","lyon","2020-08-31",1500
"16",387453,"1er Arrondissement",45.76872,4.83024,"Entire apartment","Entire home/apt",5,3,4,90,4,28,0,"france","lyon","2020-08-31",2700
"17",403747,"2e Arrondissement",45.75865,4.83353,"Private room in apartment","Private room",2,1,2,41,1,31,19,"france","lyon","2020-08-31",451
"18",416475,"1er Arrondissement",45.77063,4.83459,"Entire apartment","Entire home/apt",4,2,2,55,2,1125,0,"france","lyon","2020-08-31",1650
"19",452349,"3e Arrondissement",45.75398,4.87246,"Private room in apartment","Private room",2,1,1,60,1,1125,27,"france","lyon","2020-08-31",180
"20",501479,"3e Arrondissement",45.75358,4.85232,"Entire apartment","Entire home/apt",6,2,3,77.14,3,30,12,"france","lyon","2020-08-31",1388.52
"21",504071,"1er Arrondissement",45.77005,4.83212,"Entire apartment","Entire home/apt",6,3,3,85,1,30,0,"france","lyon","2020-08-31",2550
"22",511325,"8e Arrondissement",45.73366,4.85867,"Private room in house","Private room",1,1,1,32,1,200,0,"france","lyon","2020-08-31",960
"23",539495,"3e Arrondissement",45.75796,4.86633,"Entire apartment","Entire home/apt",3,1,2,83,1,180,0,"france","lyon","2020-08-31",2490
"24",549598,"5e Arrondissement",45.76362,4.82646,"Entire apartment","Entire home/apt",2,1,1,130,2,14,30,"france","lyon","2020-08-31",0
"25",551810,"1er Arrondissement",45.76504,4.83301,"Entire loft","Entire home/apt",4,1,2,97,2,120,12,"france","lyon","2020-08-31",1746
"26",556834,"6e Arrondissement",45.77407,4.84702,"Entire apartment","Entire home/apt",5,2,3,98,5,120,0,"france","lyon","2020-08-31",2940
