"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","country","city","date","revenue_30"
"7858",30469619,"7e Arrondissement",45.75146,4.84701,"Entire apartment","Entire home/apt",2,1,1,34,5,1125,0,"france","lyon","2020-09-19",1020
"7859",30486835,"6e Arrondissement",45.77015,4.85301,"Entire loft","Entire home/apt",4,1,2,200,2,4,29,"france","lyon","2020-09-19",200
"7860",30487608,"3e Arrondissement",45.75868,4.85628,"Entire apartment","Entire home/apt",4,1,2,71,1,1125,27,"france","lyon","2020-09-19",213
"7861",30488038,"9e Arrondissement",45.77516,4.8066,"Entire loft","Entire home/apt",2,1,1,75,2,1125,0,"france","lyon","2020-09-19",2250
"7862",30490401,"1er Arrondissement",45.77058,4.8342,"Entire apartment","Entire home/apt",3,1,2,250,2,2,28,"france","lyon","2020-09-19",500
"7863",30490953,"3e Arrondissement",45.75789,4.86539,"Shared room in apartment","Shared room",3,1,2,35,1,1,0,"france","lyon","2020-09-19",1050
"7864",30491435,"7e Arrondissement",45.75245,4.84936,"Entire apartment","Entire home/apt",4,2,2,200,2,1125,0,"france","lyon","2020-09-19",6000
"7865",30491749,"3e Arrondissement",45.75795,4.84949,"Entire apartment","Entire home/apt",5,2,3,62,2,1125,0,"france","lyon","2020-09-19",1860
"7866",30492264,"1er Arrondissement",45.77169,4.83371,"Private room in apartment","Private room",2,1,1,40,1,10,0,"france","lyon","2020-09-19",1200
"7867",30492320,"6e Arrondissement",45.76884,4.85824,"Private room in apartment","Private room",5,2,3,50,1,4,0,"france","lyon","2020-09-19",1500
"7868",30492526,"3e Arrondissement",45.75604,4.84955,"Entire apartment","Entire home/apt",4,1,2,33,1,1125,0,"france","lyon","2020-09-19",990
"7869",30494471,"7e Arrondissement",45.75091,4.84793,"Entire apartment","Entire home/apt",2,1,1,80,2,14,0,"france","lyon","2020-09-19",2400
